# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,24,0.0,16392,130155932815551,1000000000,11.514261245727539,-13.865404726151162,2.99792458E8,20,-3609.008046916324,3.4028234663852886E38,1.17645005E9,,,,1,,1,9.172757148742676,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,25,0.0,16393,130155918698768,10,30.325822830200195,-633.5982649059879,0.006987972650676966,17,-72984.39825364825,0.003493986325338483,1.17645005E9,,,,0,,1,9.172757148742676,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,10,0.0,16392,54537926978140,1000000000,19.70507049560547,-456.0265401910292,2.99792458E8,20,-10937.051680224897,3.4028234663852886E38,1.59806246E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,6,0.0,16392,54537924059108,1000000000,7.0,866.8560621275074,2.99792458E8,20,20818.108579717664,3.4028234663852886E38,1.59975002E9,,,,1,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,18,0.0,32995,54537927422882,112,21.148101806640625,-47.66296492981061,0.9989798329686446,20,-1958.1330899371478,3.4028234663852886E38,1.60031245E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,9,0.0,32995,54537934486698,88,24.169849395751953,3.9897453777938665,0.010431959293782711,17,168.75671492439074,0.0052159796468913555,1.60087501E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,16,0.0,16427,8901987,143,18.124874114990234,521.7681905778782,1.135197027191846,20,23037.587245090635,3.4028234663852886E38,1.60143744E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,19,0.0,16491,1925203830,95,23.223276138305664,-614.8456070539341,0.9052625966545151,20,-27308.64935740866,3.4028234663852886E38,1.60368755E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,7,0.0,32995,54537932196798,102,22.325498580932617,387.2955857074776,0.9468924534127869,20,17105.668993442316,3.4028234663852886E38,1.60481254E9,,,,0,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,8,0.0,32994,54537928500463,1000000000,12.392406463623047,-342.9300089798005,2.99792458E8,20,-16386.226702579606,3.4028234663852886E38,1.60537498E9,,,,1,,3,61.50869369506836,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,2,0.0,16392,130141861913148,1000000000,7.0,30.352887860892892,2.99792458E8,20,749.1445032884451,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,5,0.0,16393,130141866600706,37,26.033584594726562,28.127265107189785,0.7784178117058951,20,1389.0212559926624,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,8,0.0,16392,130141860256481,1000000000,7.0,-352.22688514026663,2.99792458E8,20,-8436.000806383394,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,10,0.0,16392,130141864939232,1000000000,11.635868072509766,200.60969695905544,2.99792458E8,20,4830.761337613829,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,14,0.0,16431,130141920640329,50,20.31451988220215,134.9101554472404,299.7961722308578,20,5112.559383540472,3.4028234663852886E38,1.56109798E9,,,,0,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,21,0.0,16392,130141913317190,1000000000,7.0,673.7313668164807,2.99792458E8,20,16190.518910337676,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.96491241455078,,,,,,,
Raw,1613390937999,53017000000,,,-1297426102982961209,0.0,10.177118876273957,,,0,24,0.0,16431,130141918019628,40,16.64900016784668,-415.26252480903054,1.2032055070874108,20,-18687.148895601364,3.4028234663852886E38,1.56109798E9,,,,1,,5,61.96491241455078,,,,,,,
